id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0038128,Ravus,protein_coding,1.322028251,4.591593715,306.2513933,1.12E-10,2.70E-09,16.41752472,16.92985924,15.93101698,40.05839204,43.10544436,40.02968903,15.33354279,14.35160758,13.92853998
FBgn0038819,Cpr92F,protein_coding,1.323162109,3.175219398,100.4862284,1.24E-07,6.10E-07,3.143266883,3.336797984,3.1150979,9.487136202,6.500134132,8.02527582,15.24061223,16.37799736,16.48928531
FBgn0034114,CG4282,protein_coding,1.326989123,3.698870485,141.0467178,1.55E-08,1.04E-07,8.922042151,7.797570025,7.58458619,19.79237643,21.01440879,20.20822466,11.45369181,10.51338695,8.902778135
FBgn0086356,tum,protein_coding,1.327348374,5.929866465,294.4462975,1.44E-10,3.15E-09,42.70007165,39.02297431,38.21073891,94.74936405,106.2496045,100.0355465,42.49249964,39.21660212,45.18399225
FBgn0038105,yellow-f2,protein_coding,1.327911414,1.330242556,27.86659077,0.00014591,0.000322547,1.644170369,0.913228922,2.082375226,4.083343796,3.613428601,3.983630889,1.998007091,1.454232662,2.225694534
FBgn0032781,RtcB,protein_coding,1.327917895,5.731042843,251.3788857,4.00E-10,6.36E-09,34.45504083,33.33285565,29.40720137,80.95641717,87.23368415,75.80501498,47.81277434,46.41624579,41.95314535
FBgn0052418,vito,protein_coding,1.328715562,3.655723442,120.1986615,4.17E-08,2.38E-07,7.65264591,7.727321646,6.873531235,17.84040892,22.1044934,15.91518554,11.47692445,11.18090358,12.03789624
FBgn0086898,dgo,protein_coding,1.329290804,2.385451138,74.57148674,7.19E-07,2.82E-06,2.139839378,2.458693251,3.301326578,6.078369412,7.15956803,6.574924768,6.203115038,6.579806799,6.342032811
FBgn0039557,CG12259,protein_coding,1.329874998,4.836208686,77.55137634,3.38E-06,1.09E-05,20.73347194,18.44019938,17.42084641,46.086527,59.54418937,36.54884651,20.44472372,19.00038413,17.87735287
FBgn0034795,MED23,protein_coding,1.330151614,4.176895672,167.7281512,5.27E-09,4.44E-08,11.2915818,11.45048571,11.68161712,25.37557762,27.6222056,33.62880639,13.47493154,14.04168915,13.61742139
